ds,y
2012-08-01,7.86441990499457
2012-08-02,8.07215530818825
2012-08-03,8.0802374162167
2012-08-04,8.12088602109284
2012-08-05,8.11312710422178
2012-08-06,8.14438886554762
2012-08-07,8.06463647577422
2012-08-08,7.9448467110020005
2012-08-09,8.24143968982973
2012-08-10,9.007367027451359
2012-08-11,8.66233195708248
2012-08-12,8.80056599227992
2012-08-13,8.3742461820963
2012-08-14,8.56407677731509
2012-08-15,8.38434727808281
2012-08-16,8.12651816878071
2012-08-17,8.390722527362291
2012-08-18,8.3351915834332
2012-08-19,8.927844826211699
2012-08-20,9.0079793598445
2012-08-21,8.378160982720681
2012-08-22,8.20330402679528
2012-08-23,8.38571682862785
2012-08-24,8.31115254800169
2012-08-25,8.74145611599836
2012-08-26,9.44295889365291
2012-08-27,9.145908511816788
2012-08-28,8.58951385299586
2012-08-29,8.46484671104403
2012-08-30,8.36590507720246
2012-08-31,8.56541176368671
2012-09-01,8.4724050086261
2012-09-02,8.96648377906443
2012-09-03,8.56006109164341
2012-09-04,8.4690528160883
2012-09-05,8.743850562030241
2012-09-06,10.0138206842205
2012-09-07,8.69114649853968
2012-09-08,8.780941113572391
2012-09-09,9.83900236330972
2012-09-10,11.614940390376999
2012-09-11,9.62865589206317
2012-09-12,8.782936356349259
2012-09-13,8.68118104152169
2012-09-14,9.000976444070341
2012-09-15,8.746239288383059
2012-09-16,9.8072519446553
2012-09-17,9.61266722758384
2012-09-18,10.592099464294302
2012-09-19,8.75542238014849
2012-09-20,8.56063574925907
2012-09-21,9.40516674990861
2012-09-22,8.45807992692373
2012-09-23,9.549594449971949
2012-09-24,9.60602446822924
2012-09-25,8.67726913926287
2012-09-26,8.17103418920548
2012-09-27,8.24143968982973
2012-09-28,8.51097389160232
2012-09-29,8.32360844234357
2012-09-30,9.25922576970599
2012-10-01,9.84966474583862
2012-10-02,8.83317113302287
2012-10-03,8.49780647761605
2012-10-04,8.63408694288774
2012-10-05,9.04227668692893
2012-10-06,8.550047528287179
2012-10-07,9.818093049519181
2012-10-08,9.9020865716205
2012-10-09,8.91637191488169
2012-10-10,8.33206770728955
2012-10-11,8.236685322712459
2012-10-12,8.40178233990491
2012-10-13,8.24170315972982
2012-10-14,9.03562977818356
2012-10-15,9.10409057213347
2012-10-16,10.8321415433937
2012-10-17,8.7787879291047
2012-10-18,8.48011418317482
2012-10-19,8.48941081040379
2012-10-20,8.250620082174692
2012-10-21,9.54344981789221
2012-10-22,9.09717167387054
2012-10-23,8.66939912430557
2012-10-24,8.34924780056679
2012-10-25,8.340694647925071
2012-10-26,8.494743062578651
2012-10-27,8.53326337159373
2012-10-28,9.21979553074694
2012-10-29,10.4442990717924
2012-10-30,8.87696334026227
2012-10-31,8.681859812971469
