ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2007-12-10,8.042899222055588,8.240637318648881,9.457904803762798,8.042899222055588,8.042899222055588,0.8028977908100348,0.8028977908100348,0.8028977908100348,0.3522944961898906,0.3522944961898906,0.3522944961898906,0.45060329462014426,0.45060329462014426,0.45060329462014426,0.0,0.0,0.0,8.845797012865622
2007-12-11,8.041350171163975,7.966862919315025,9.174656055819577,8.041350171163975,8.041350171163975,0.5529734887561908,0.5529734887561908,0.5529734887561908,0.11963777333048524,0.11963777333048524,0.11963777333048524,0.4333357154257055,0.4333357154257055,0.4333357154257055,0.0,0.0,0.0,8.594323659920166
2007-12-12,8.039801120272363,7.733213305088994,9.025734540871698,8.039801120272363,8.039801120272363,0.3503261258504486,0.3503261258504486,0.3503261258504486,-0.06667699089658997,-0.06667699089658997,-0.06667699089658997,0.4170031167470386,0.4170031167470386,0.4170031167470386,0.0,0.0,0.0,8.390127246122812
2007-12-13,8.038252069380752,7.6853150773286005,8.967881893869505,8.038252069380752,8.038252069380752,0.3298044169777779,0.3298044169777779,0.3298044169777779,-0.07224526761432294,-0.07224526761432294,-0.07224526761432294,0.40204968459210083,0.40204968459210083,0.40204968459210083,0.0,0.0,0.0,8.36805648635853
2007-12-14,8.03670301848914,7.7333807593058275,8.968215227223839,8.03670301848914,8.03670301848914,0.31930592539769376,0.31930592539769376,0.31930592539769376,-0.06957566836859101,-0.06957566836859101,-0.06957566836859101,0.3888815937662847,0.3888815937662847,0.3888815937662847,0.0,0.0,0.0,8.356008943886835
2007-12-15,8.035153967597529,7.518754335196767,8.743788091539011,8.035153967597529,8.035153967597529,0.06614672241905149,0.06614672241905149,0.06614672241905149,-0.31171141804567437,-0.31171141804567437,-0.31171141804567437,0.3778581404647258,0.3778581404647258,0.3778581404647258,0.0,0.0,0.0,8.10130069001658
2007-12-16,8.033604916705915,7.846892622377384,9.018044214025545,8.033604916705915,8.033604916705915,0.41756154194232714,0.41756154194232714,0.41756154194232714,0.04827707540617679,0.04827707540617679,0.04827707540617679,0.3692844665361504,0.3692844665361504,0.3692844665361504,0.0,0.0,0.0,8.451166458648242
2007-12-17,8.032055865814302,8.109704528222089,9.399035857192196,8.032055865814302,8.032055865814302,0.7157005405981874,0.7157005405981874,0.7157005405981874,0.35229449618977715,0.35229449618977715,0.35229449618977715,0.3634060444084103,0.3634060444084103,0.3634060444084103,0.0,0.0,0.0,8.747756406412488
2007-12-18,8.03050681492269,7.89763212864154,9.149670560606864,8.03050681492269,8.03050681492269,0.48004280750931466,0.48004280750931466,0.48004280750931466,0.11963777333014487,0.11963777333014487,0.11963777333014487,0.3604050341791698,0.3604050341791698,0.3604050341791698,0.0,0.0,0.0,8.510549622432006
2007-12-19,8.028957764031079,7.727521471122388,8.956720866417987,8.028957764031079,8.028957764031079,0.2937215733346245,0.2937215733346245,0.2937215733346245,-0.06667699089678829,-0.06667699089678829,-0.06667699089678829,0.36039856423141275,0.36039856423141275,0.36039856423141275,0.0,0.0,0.0,8.322679337365702
