ds,y
2007-12-10,9.59076113897809
2007-12-11,8.51959031601596
2007-12-12,8.18367658262066
2007-12-13,8.072467369354769
2007-12-14,7.893572073504901
2007-12-15,7.78364059622125
2007-12-16,8.41405243249672
2007-12-17,8.82922635473185
2007-12-18,8.38251828808963
2007-12-19,8.06965530688617
2007-12-20,7.87929148508227
2007-12-21,7.76174498465891
2007-12-22,7.529406457837009
2007-12-23,8.38526052015541
2007-12-24,8.62011072542292
2007-12-25,7.85243908535751
2007-12-26,7.85399308722424
2007-12-27,8.0519780789023
2007-12-28,7.92660259918138
2007-12-29,7.83834331555712
2007-12-30,9.70314458114435
2007-12-31,9.38597294061934
2008-01-01,8.29379960884682
2008-01-02,8.43468076984177
2008-01-03,8.26204284396694
2008-01-04,8.106816038947048
2008-01-05,7.950149887652019
2008-01-06,9.509259076353949
2008-01-07,8.846784666945231
2008-01-08,8.430545384690571
2008-01-09,8.248267447446901
2008-01-10,8.28172399041139
2008-01-11,8.29279885820037
2008-01-12,8.19918935907807
2008-01-13,9.99652241850332
2008-01-14,10.1270710070787
2008-01-15,8.933796043934858
2008-01-16,8.56617381363786
2008-01-17,8.547722396451059
2008-01-18,8.399760094524138
2008-01-19,8.22309055116153
2008-01-20,8.838986793496789
2008-01-21,10.8972021813751
2008-01-22,9.444938073335509
2008-01-23,8.92332474406756
2008-01-24,8.543445562560299
2008-01-25,8.49556089128912
2008-01-26,8.417372856134032
2008-01-27,8.57262789830434
2008-01-28,8.73648935100155
2008-01-29,8.63408694288774
2008-01-30,8.67351294567119
2008-01-31,
2008-02-01,8.82423661734664
2008-02-02,8.537975730598768
2008-02-03,9.698061122027081
2008-02-04,12.097456837151698
2008-02-05,10.6352783566883
2008-02-06,9.691716587516892
2008-02-07,9.31560088263368
2008-02-08,8.970813341411448
2008-02-09,8.589141690728821
2008-02-10,8.61740045183326
2008-02-11,8.61631428228404
2008-02-12,8.215547411947071
2008-02-13,8.06495089174914
2008-02-14,8.11342663994365
2008-02-15,7.79934339821592
2008-02-16,7.6275443904885005
2008-02-17,7.55590509361135
2008-02-18,7.711548979629151
2008-02-19,7.78862606562503
2008-02-20,7.70841066725737
2008-02-21,7.76853330092603
2008-02-22,7.695303134963571
2008-02-23,7.378383712996711
2008-02-24,7.91059061225648
2008-02-25,7.62657020629066
2008-02-26,7.57353126274595
2008-02-27,7.567862605463881
2008-02-28,
2008-02-29,7.5522372875608
2008-03-01,
2008-03-02,7.3369369137076195
2008-03-03,
2008-03-04,
2008-03-05,8.124743020385571
2008-03-06,7.88758403166028
2008-03-07,7.81963630236759
2008-03-08,7.38398945797851
2008-03-09,7.8143996338044905
2008-03-10,7.5422134631933995
2008-03-11,7.548555979169871
2008-03-12,7.6889133368647995
2008-03-13,7.477038472319701
2008-03-14,7.358830898342349
2008-03-15,7.03262426102801
2008-03-16,7.11801620446533
2008-03-17,7.34987370473834
2008-03-18,7.32646561384032
2008-03-19,7.363913501405821
2008-03-20,7.2779385729456605
2008-03-21,7.25134498337221
2008-03-22,7.002155954403619
2008-03-23,7.16394668434255
2008-03-24,7.7591874385078
2008-03-25,7.51860721681525
2008-03-26,7.4139702901904405
2008-03-27,7.442492722794441
2008-03-28,7.2283884515736
2008-03-29,6.99117688712121
2008-03-30,7.2115567333138
2008-03-31,7.31121838441963
2008-04-01,7.34923082461333
2008-04-02,7.51425465281641
2008-04-03,7.3932630947638405
2008-04-04,7.28619171470238
2008-04-05,7.27309259599952
2008-04-06,7.1685798972640296
2008-04-07,7.61134771740362
2008-04-08,7.61775957660851
2008-04-09,7.42595365707754
2008-04-10,8.18200013629341
2008-04-11,7.39939808333135
2008-04-12,7.1066061377273
2008-04-13,7.08086789669078
2008-04-14,7.421177528595389
2008-04-15,7.4916454736051294
2008-04-16,7.38585107812521
2008-04-17,7.68294316987829
2008-04-18,7.6889133368647995
2008-04-19,7.259116128097099
2008-04-20,8.14496941708788
2008-04-21,8.713910628493919
2008-04-22,8.09101504171053
2008-04-23,7.84031298332016
2008-04-24,7.648739788956241
2008-04-25,8.02092771898158
2008-04-26,7.83002808253384
2008-04-27,7.727535110475451
2008-04-28,7.835974581721571
2008-04-29,7.62657020629066
2008-04-30,7.64444076155657
2008-05-01,7.548555979169871
2008-05-02,7.440733707389259
2008-05-03,7.073269717459709
2008-05-04,7.02642680869964
2008-05-05,7.39203156751459
2008-05-06,7.29301767977278
2008-05-07,7.36137542897735
